field_position,field_name,official_field_name,sf_loan_performance_applicability,type,availability_assessment,v01_usage_decision,rationale
43,mortgage_insurance_cancellation_indicator,Mortgage Insurance Cancellation Indicator,NA,ALPHA-NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
44,zero_balance_code,Zero Balance Code,√,ALPHA-NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
45,zero_balance_effective_date,Zero Balance Effective Date,√,DATE,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
46,upb_at_the_time_of_removal,UPB at the Time of Removal,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
47,repurchase_date,Repurchase Date,NA,DATE,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
48,scheduled_principal_current,Scheduled Principal Current,NA,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
49,total_principal_current,Total Principal Current,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
50,unscheduled_principal_current,Unscheduled Principal Current,NA,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
51,last_paid_installment_date,Last Paid Installment Date,√,DATE,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
52,foreclosure_date,Foreclosure Date,√,DATE,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
53,disposition_date,Disposition Date,√,DATE,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
54,foreclosure_costs,Foreclosure Costs,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
55,property_preservation_and_repair_costs,Property Preservation and Repair Costs,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
56,asset_recovery_costs,Asset Recovery Costs,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
57,miscellaneous_holding_expenses_and_credits,Miscellaneous Holding Expenses and Credits,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
58,associated_taxes_for_holding_property,Associated Taxes for Holding Property,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
59,net_sales_proceeds,Net Sales Proceeds,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
60,credit_enhancement_proceeds,Credit Enhancement Proceeds,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
61,repurchase_make_whole_proceeds,Repurchase Make Whole Proceeds,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
62,other_foreclosure_proceeds,Other Foreclosure Proceeds,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
63,modification_related_non_interest_bearing_upb,Modification-Related Non-Interest Bearing UPB,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
64,principal_forgiveness_amount,Principal Forgiveness Amount,√,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
65,original_list_start_date,Original List Start Date,NA,DATE,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
66,original_list_price,Original List Price,NA,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
67,current_list_start_date,Current List Start Date,NA,DATE,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
68,current_list_price,Current List Price,NA,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
69,borrower_credit_score_at_issuance,Borrower Credit Score At Issuance,NA,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
70,co_borrower_credit_score_at_issuance,Co-Borrower Credit Score At Issuance,NA,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
71,borrower_credit_score_current,Borrower Credit Score Current,NA,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
72,co_borrower_credit_score_current,Co-Borrower Credit Score Current,NA,NUMERIC,after or at termination,label_only_or_exclude,"Potential termination, foreclosure, disposition, recovery or settlement information; excluded from model features."
73,mortgage_insurance_type,Mortgage Insurance Type,√,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
74,servicing_activity_indicator,Servicing Activity Indicator,√,ALPHA-NUMERIC,may follow deterioration,exclude_initial_model,Workout or resolution information; excluded from the initial early-warning model pending a separate intervention analysis.
75,current_period_modification_loss_amount,Current Period Modification Loss Amount,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
76,cumulative_modification_loss_amount,Cumulative Modification Loss Amount,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
77,current_period_credit_event_net_gain_or_loss,Current Period Credit Event Net Gain or Loss,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
78,cumulative_credit_event_net_gain_or_loss,Cumulative Credit Event Net Gain or Loss,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
79,special_eligibility_program,Special Eligibility Program,√,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
80,foreclosure_principal_write_off_amount,Foreclosure Principal Write-off Amount,√,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
81,relocation_mortgage_indicator,Relocation Mortgage Indicator,√,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
82,zero_balance_code_change_date,Zero Balance Code Change Date,NA,DATE,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
83,loan_holdback_indicator,Loan Holdback Indicator,NA,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
84,loan_holdback_effective_date,Loan Holdback Effective Date,NA,DATE,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
85,delinquent_accrued_interest,Delinquent Accrued Interest,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
86,property_valuation_method,Property Valuation Method,√,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
87,high_balance_loan_indicator,High Balance Loan Indicator,√,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
88,arm_initial_fixed_rate_period_5_yr_indicator,ARM Initial Fixed-Rate Period  ≤ 5 YR Indicator,NA,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
89,arm_product_type,ARM Product Type,NA,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
90,initial_fixed_rate_period,Initial Fixed-Rate Period,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
91,interest_rate_adjustment_frequency,Interest Rate Adjustment Frequency,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
92,next_interest_rate_adjustment_date,Next Interest Rate Adjustment Date,NA,DATE,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
93,next_payment_change_date,Next Payment Change Date,NA,DATE,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
94,index,Index,NA,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
95,arm_cap_structure,ARM Cap Structure,NA,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
96,initial_interest_rate_cap_up_percent,Initial Interest Rate Cap Up Percent,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
97,periodic_interest_rate_cap_up_percent,Periodic Interest Rate Cap Up Percent,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
98,lifetime_interest_rate_cap_up_percent,Lifetime Interest Rate Cap Up Percent,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
99,mortgage_margin,Mortgage Margin,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
100,arm_balloon_indicator,ARM Balloon Indicator,NA,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
101,arm_plan_number,ARM Plan Number,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
102,borrower_assistance_plan,Borrower Assistance Plan,√,ALPHA-NUMERIC,may follow deterioration,exclude_initial_model,Workout or resolution information; excluded from the initial early-warning model pending a separate intervention analysis.
103,high_loan_to_value_hltv_refinance_option_indicator,High Loan to Value (HLTV) Refinance Option Indicator,√,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
104,deal_name,Deal Name,NA,ALPHA-NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
105,repurchase_make_whole_proceeds_flag,Repurchase Make Whole Proceeds Flag,√,ALPHA-NUMERIC,may follow deterioration,exclude_initial_model,Workout or resolution information; excluded from the initial early-warning model pending a separate intervention analysis.
106,alternative_delinquency_resolution,Alternative Delinquency Resolution,√,ALPHA-NUMERIC,may follow deterioration,exclude_initial_model,Workout or resolution information; excluded from the initial early-warning model pending a separate intervention analysis.
107,alternative_delinquency_resolution_count,Alternative Delinquency Resolution Count,√,NUMERIC,may follow deterioration,exclude_initial_model,Workout or resolution information; excluded from the initial early-warning model pending a separate intervention analysis.
108,total_deferral_amount,Total Deferral Amount,√,NUMERIC,may follow deterioration,exclude_initial_model,Workout or resolution information; excluded from the initial early-warning model pending a separate intervention analysis.
109,payment_deferral_modification_event_indicator,Payment Deferral Modification Event Indicator,√,ALPHA-NUMERIC,may follow deterioration,exclude_initial_model,Workout or resolution information; excluded from the initial early-warning model pending a separate intervention analysis.
110,interest_bearing_upb,Interest Bearing UPB,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
111,origination_classic_fico,Origination Classic FICO®,√,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
112,issuance_classic_fico,Issuance Classic FICO®,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
113,current_classic_fico,Current Classic FICO®,NA,NUMERIC,not established for initial panel,exclude_pending_review,Outside the v01 base feature set; requires explicit temporal-availability review before use.
